날짜,시간(시작-종료),활동명,카테고리,메모
2026-01-02,23:12-23:41,취침 전 독서,취미,[마이크로 루틴] 피곤하여 20분 단축 제안 수락하여 짧게 독서.
2026-01-02,23:41-24:00,수면,수면,자정 전에 취침 루틴 유지.
2026-01-03,00:00-09:24,수면,수면,주말 늦잠으로 인한 늦은 기상.
2026-01-03,09:24-09:42,무기력증,기타,침대 위에서 무의미한 SNS 스크롤링.
2026-01-03,09:42-10:13,15분 독서,취미,[마이크로 루틴] AI가 자존감 방지용 짧은 독서 미션 부여.
2026-01-03,10:13-11:06,아침 겸 점심,식사,늦은 아점 식사와 영양제 챙겨 먹기.
2026-01-03,11:06-15:37,취미(게임),취미,친구들과 온라인 게임 몰입.
2026-01-03,15:37-18:12,집 근처 산책,운동,AI가 무기력증 해소를 위해 제안한 햇볕 쬐기 산책.
2026-01-03,18:12-19:23,저녁 식사,식사,일반식 식사 후 마그네슘 섭취.
2026-01-03,19:23-22:46,부족한 공부 보충,일과,낮에 못한 공부를 야간에 집중해서 보충.
2026-01-03,22:46-23:14,취침 전 독서,취미,자기 전 독서로 마음 가다듬기.
2026-01-03,23:14-24:00,수면 준비,수면,다음 날 루틴 회복을 위한 취침 준비.
2026-01-04,00:00-08:21,수면,수면,안정적인 수면 패턴으로 복귀.
2026-01-04,08:21-08:52,기상 후 독서,취미,기분 좋게 31분 독서 성공.
2026-01-04,08:52-10:04,아침 식사,식사,일요일 아침 식사와 종합비타민.
2026-01-04,10:04-13:41,주간 계획 수립,일과,AI와 함께 다음 주 루틴 난이도와 보상 설계.
2026-01-04,13:41-14:56,점심 식사,식사,자취 요리로 파스타 만들어 먹음.
2026-01-04,14:56-17:34,청소 및 정리,기타,쾌적한 한 주를 위해 방 대청소 실시.
2026-01-04,17:34-18:52,가벼운 유산소,운동,공지천 산책로 45분간 런닝.
2026-01-04,18:52-20:11,저녁 식사,식사,단백질 식단과 오메가3 섭취.
2026-01-04,20:11-22:43,영화 감상,취미,정서적 휴식을 위해 넷플릭스 시청.
2026-01-04,22:43-23:15,취침 전 독서,취미,차분하게 독서 후 마감.
2026-01-04,23:15-24:00,수면,수면,평온한 상태로 취침.
2026-01-05,00:00-07:14,수면,수면,월요일 아침 일찍 자동 기상.
2026-01-05,07:14-07:46,기상 후 독서,취미,활기찬 월요일 시작을 위한 독서.
2026-01-05,07:46-08:32,아침 식사,식사,아침밥 꼭 챙겨 먹고 종합비타민 섭취.
2026-01-05,08:32-12:14,전공 서적 정리,일과,이번 학기 전공 과목 실라버스 꼼꼼히 분석.
2026-01-05,12:14-13:27,점심 식사,식사,학교 식당에서 동기들과 점심.
2026-01-05,13:27-17:41,도서관 집중,일과,반도체 공학 기초 이론 심화 학습.
2026-01-05,17:41-19:12,헬스(하체),운동,스쿼트 중심의 하체 단련 루틴 수행.
2026-01-05,19:12-20:24,저녁 식사,식사,식사 후 오메가3와 마그네슘 섭취.
2026-01-05,20:24-23:02,블로그 포스팅,취미,공부한 내용을 블로그에 정리하며 복습.
2026-01-05,23:02-23:34,취침 전 독서,취미,오늘 하루 만족스럽게 마무리하며 독서.
2026-01-05,23:34-24:00,수면,수면,깊은 잠에 빠짐.
2026-01-06,00:00-07:53,수면,수면,알람 소리에 맞춰 개운하게 일어남.
2026-01-06,07:53-08:24,기상 후 독서,취미,기상 루틴 31분 독서 성공.
2026-01-06,08:24-09:12,아침 식사,식사,균형 잡힌 아침 식사와 종합비타민.
2026-01-06,09:12-11:47,학과 사무실 방문,기타,성적 관련 상담을 위해 학과 사무실 다녀옴.
2026-01-06,11:47-12:56,점심 식사,식사,상담 후 동기들과 가벼운 점심 식사.
2026-01-06,12:56-15:32,도서관 복귀,일과,흐트러진 마음 다잡고 오후 학습 시작.
2026-01-06,15:32-18:04,루틴 난이도 조정,일과,AI가 상담 후의 피로도를 감안해 학습 강도 하향 권고.
2026-01-06,18:04-19:31,저녁 식사,식사,식단 준수 및 마그네슘 섭취.
2026-01-06,19:31-21:14,볼링 활동,취미,오랜만에 볼링으로 스트레스 발산.
2026-01-06,21:14-22:58,내일 준비,기타,내일 루틴을 미리 머릿속으로 시뮬레이션.
2026-01-06,22:58-23:31,취침 전 독서,취미,안정적인 수면을 위해 33분간 독서.
2026-01-06,23:31-24:00,수면,수면,정상 범위 내 취침.
2026-01-07,00:00-07:22,수면,수면,매우 깊고 편안한 숙면.
2026-01-07,07:22-07:54,기상 후 독서,취미,아침 독서 루틴 이제 습관화됨.
2026-01-07,07:54-08:41,아침 식사,식사,아침 식사와 영양제 완벽히 이행.
2026-01-07,08:41-12:32,알고리즘 공부,일과,코딩 테스트 대비 알고리즘 문제 풀이 집중.
2026-01-07,12:32-13:44,점심 식사,식사,몸이 가벼워지는 샐러드 팩 식사.
2026-01-07,13:44-17:12,도서관 프로젝트,일과,개인 포트폴리오 사이트 구조 기획.
2026-01-07,17:12-18:56,헬스(전신),운동,유산소와 근력 운동 병행하여 수행.
2026-01-07,18:56-20:07,저녁 식사,식사,저녁 식사 후 오메가3와 마그네슘 이행.
2026-01-07,20:07-22:34,AI 코딩 공부,취미,Cursor AI 툴을 사용해 보며 코딩 효율 극대화 체험.
2026-01-07,22:34-23:08,취침 전 독서,취미,자기 전 마무리 독서 34분 완료.
2026-01-07,23:08-24:00,수면,수면,1주차 성공적인 마무리와 함께 숙면.
